 ian;mo;jo;jul;pla;      lai(n);    masec(n);     mafruit;       HR(1);       HR(2);       HR(3);       HR(4);       HR(5);      resmes;       drain;        esol;          et;        zrac;       tcult;    AZnit(1);    AZnit(2);    AZnit(3);    AZnit(4);    AZnit(5);        Qles;    QNplante;      azomes; chargefruit;    AZamm(1);    AZamm(2);    AZamm(3);    AZamm(4);    AZamm(5);     CNgrain;  concNO3les;        drat;       fapar;     hauteur;        Hmax;    humidite;    LRACH(1);    LRACH(2);    LRACH(3);    LRACH(4);    LRACH(5);     mafrais;pdsfruitfrais;      Qdrain;        rnet;     QNgrain;     psibase;      mabois;      H2Orec;mafeuiljaune;mafeuilverte;humirac_mean;     tempeff;   deltai(n);     ulai(n);    tustress;   efdensite;     densite;      exolai;   dltams(n);    remobilj;      exofac;     exobiom;         inn;      innlai;        inns;      turfac;       swfac;       Qminh;       Qminr
2022;8;11;223;vig;0.0;0.0;0.0;12.88708;22.64624;23.75016;0.0;0.0;194.94556;0.0;0.63827;0.63827;182.0;26.60344;3.64508;12.14707;0.0;0.0;0.0;0.0;0.092;15.79214;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.50071;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.14787;0.0;0.0;0.0;0.0;0.0;0.0;0.96721;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;15.69415;0.0
2022;8;12;224;vig;0.0;0.0;0.0;12.66265;22.56578;23.75016;0.0;0.0;194.10124;0.0;0.84432;0.84432;182.0;28.54642;3.91007;13.3157;0.0;0.0;0.0;0.0;0.092;17.22577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.61393;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;11.08712;0.0;0.0;0.0;0.0;0.0;0.0;0.96721;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;17.12777;0.0
2022;8;13;225;vig;0.0;0.0;0.0;12.42397;22.47935;23.75016;0.0;0.0;193.19804;0.0;0.9032;0.9032;182.0;30.47169;4.20201;14.55805;0.0;0.0;0.0;0.0;0.092;18.76007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.58141;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;11.45958;0.0;0.0;0.0;0.0;0.0;0.0;0.96721;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;18.66207;0.0
2022;8;14;226;vig;0.0;0.0;0.0;12.08827;22.47935;23.75016;0.0;0.0;192.67076;0.0;0.52728;0.52728;182.0;29.05183;4.52318;15.89452;0.0;0.0;0.0;0.0;0.092;20.4177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.49063;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.32356;0.0;0.0;0.0;0.0;0.0;0.0;0.96721;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;20.31971;0.0
2022;8;15;227;vig;0.0;0.0;0.0;11.5436;22.47935;23.75016;0.0;0.0;191.81525;0.0;0.85552;0.85552;182.0;29.65432;4.81683;17.26294;0.0;0.0;0.0;0.0;0.092;22.07978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.59666;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.53378;0.0;0.0;0.0;0.0;0.0;0.0;0.96721;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;21.98179;0.0
2022;8;16;228;vig;0.0;0.0;0.0;10.97425;22.47935;23.75016;0.0;0.0;190.92096;0.0;0.89428;0.89428;182.0;31.27739;5.10363;18.69384;0.0;0.0;0.0;0.0;0.092;23.79746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.62289;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;11.45488;0.0;0.0;0.0;0.0;0.0;0.0;0.96175;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;23.69948;0.0
2022;8;17;229;vig;0.0;0.0;0.0;10.65788;22.47935;23.75016;0.0;0.0;190.42404;0.0;0.49692;0.49692;182.0;28.0098;5.39556;20.22087;0.0;0.0;0.0;0.0;0.092;25.61643;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.60642;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;9.81938;0.0;0.0;0.0;0.0;0.0;0.0;0.96175;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;25.51843;0.0
2022;8;18;230;vig;0.0;0.0;0.0;10.25223;22.45522;23.75016;0.0;0.0;189.63939;0.0;0.78464;0.78464;182.0;27.69885;5.64465;21.72353;0.0;0.0;0.0;0.0;0.092;27.36818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.7527;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.64526;0.0;0.0;0.0;0.0;0.0;0.0;0.96175;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;27.27019;0.0
2022;8;19;231;vig;0.0;0.0;0.0;9.75535;22.45522;23.75016;0.0;0.0;188.85896;0.0;0.78044;0.78044;182.0;28.74797;5.88978;23.23545;0.0;0.0;0.0;0.0;0.092;29.12523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.69505;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.93465;0.0;0.0;0.0;0.0;0.0;0.0;0.96175;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;29.02724;0.0
2022;8;20;232;vig;0.0;0.0;0.0;9.38061;22.45522;23.75016;0.0;0.0;188.27034;0.0;0.58862;0.58862;182.0;30.32397;6.12982;24.79005;0.0;0.0;0.0;0.0;0.092;30.91987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.64486;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.69262;0.0;0.0;0.0;0.0;0.0;0.0;0.96175;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;30.82188;0.0
2022;8;21;233;vig;0.0;0.0;0.0;9.14621;22.45522;23.75016;0.0;0.0;187.90218;0.0;0.36817;0.36817;182.0;28.9076;6.37539;26.41644;0.0;0.0;0.0;0.0;0.092;32.79183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.45211;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;9.79841;0.0;0.0;0.0;0.0;0.0;0.0;0.95628;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;32.69384;0.0
2022;8;22;234;vig;0.0;0.0;0.0;8.90401;22.45522;23.75016;0.0;0.0;187.52174;0.0;0.38042;0.38042;182.0;26.79758;6.59886;28.0457;0.0;0.0;0.0;0.0;0.092;34.64456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5055;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;9.64705;0.0;0.0;0.0;0.0;0.0;0.0;0.95628;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;34.54657;0.0
