 ian;mo;jo;jul;pla;      lai(n);    masec(n);     mafruit;       HR(1);       HR(2);       HR(3);       HR(4);       HR(5);      resmes;       drain;        esol;          et;        zrac;       tcult;    AZnit(1);    AZnit(2);    AZnit(3);    AZnit(4);    AZnit(5);        Qles;    QNplante;      azomes; chargefruit;    AZamm(1);    AZamm(2);    AZamm(3);    AZamm(4);    AZamm(5);     CNgrain;  concNO3les;        drat;       fapar;     hauteur;        Hmax;    humidite;    LRACH(1);    LRACH(2);    LRACH(3);    LRACH(4);    LRACH(5);     mafrais;pdsfruitfrais;      Qdrain;        rnet;     QNgrain;     psibase;      mabois;      H2Orec;mafeuiljaune;mafeuilverte;humirac_mean;     tempeff;   deltai(n);     ulai(n);    tustress;   efdensite;     densite;      exolai;   dltams(n);    remobilj;      exofac;     exobiom;         inn;      innlai;        inns;      turfac;       swfac;       Qminh;       Qminr
2022;8;1;213;vig;0.0;0.0;0.0;21.78206;23.09686;23.75018;0.0;0.0;429.41278;0.0;8.96162;8.96162;182.0;23.3;0.44312;1.06731;0.0;0.0;0.0;0.0;0.092;1.51043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.77448;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;16.04029;0.0;0.0;0.0;0.0;0.0;0.0;0.99454;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;1.51043;0.0
2022;8;2;214;vig;0.0;0.0;0.0;20.63742;22.88731;23.75017;0.0;0.0;426.33398;0.0;3.07878;3.07878;182.0;24.77134;0.7974;2.13395;0.0;0.0;0.0;0.0;0.092;2.93135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.69237;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;13.0352;0.0;0.0;0.0;0.0;0.0;0.0;0.98361;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;2.93135;0.0
2022;8;3;215;vig;0.0;0.0;0.0;19.53987;22.88731;23.75017;0.0;0.0;424.61005;0.0;1.72393;1.72393;182.0;28.25127;1.18643;3.23065;0.0;0.0;0.0;0.0;0.092;4.41708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.62215;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;12.55333;0.0;0.0;0.0;0.0;0.0;0.0;0.98361;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;4.41708;0.0
2022;8;4;216;vig;0.0;0.0;0.0;18.48111;22.88731;23.75017;0.0;0.0;422.94708;0.0;1.66298;1.66298;182.0;25.29671;1.63323;4.41854;0.0;0.0;0.0;0.0;0.092;6.05177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.64113;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;11.57859;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;6.05177;0.0
2022;8;5;217;vig;0.0;0.0;0.0;17.51137;22.88731;23.75017;0.0;0.0;421.42392;0.0;1.52317;1.52317;182.0;22.4507;1.9928;5.58757;0.0;0.0;0.0;0.0;0.092;7.58037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.76448;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;12.5436;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;7.58037;0.0
2022;8;6;218;vig;0.0;0.0;0.0;17.48462;22.74866;23.75017;0.0;0.0;420.53445;0.0;4.08946;4.08946;182.0;20.5;2.34306;6.70742;0.0;0.0;0.0;0.0;0.092;9.05048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.66796;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.78419;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;8.98648;0.0
2022;8;7;219;vig;0.0;0.0;0.0;16.32129;22.7258;23.75017;0.0;0.0;418.56741;0.0;3.46703;3.46703;182.0;21.79786;2.6318;7.77064;0.0;0.0;0.0;0.0;0.092;10.40244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.63926;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;12.13219;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;10.30844;0.0
2022;8;8;220;vig;0.0;0.0;0.0;15.77263;22.7258;23.75017;0.0;0.0;417.70566;0.0;0.86177;0.86177;182.0;24.4586;2.88448;8.82726;0.0;0.0;0.0;0.0;0.092;11.71175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.55423;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.61815;0.0;0.0;0.0;0.0;0.0;0.0;0.97268;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;11.61775;0.0
2022;8;9;221;vig;0.0;0.0;0.0;13.71619;22.7258;23.75017;0.0;0.0;414.47559;0.0;3.43006;3.43006;182.0;23.5;3.17064;9.92136;0.0;0.0;0.0;0.0;0.092;13.092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.64285;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.23875;0.0;0.0;0.0;0.0;0.0;0.0;0.97268;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;12.994;0.0
2022;8;10;222;vig;0.0;0.0;0.0;13.19011;22.7258;23.75017;0.0;0.0;413.64926;0.0;0.82631;0.82631;182.0;25.14629;3.39498;11.00494;0.0;0.0;0.0;0.0;0.092;14.39992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.7008;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.00501;0.0;0.0;0.0;0.0;0.0;0.0;0.96721;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;14.30192;0.0
